type,id,date,time,address,rnds,latitude,longitude,source,zone,year,month,yearmonth
Multiple_Gunshots,,12/31/2013,,,,39.94868353,-75.11714037,2013,,2013,12,168
Multiple_Gunshots,,12/31/2013,,,,39.93156603,-75.10501091,2013,,2013,12,168
Single_Gunshot,,12/30/2013,,,,39.93542035,-75.11332048,2013,,2013,12,168
Multiple_Gunshots,,12/29/2013,,,,39.93081448,-75.10636793,2013,,2013,12,168
Single_Gunshot,,12/28/2013,,,,39.9367625,-75.11762306,2013,,2013,12,168
Single_Gunshot,,12/28/2013,,,,39.93669665,-75.11471163,2013,,2013,12,168
Multiple_Gunshots,,12/28/2013,,,,39.93529924,-75.1044878,2013,,2013,12,168
Multiple_Gunshots,,12/27/2013,,,,39.96063903,-75.10776878,2013,,2013,12,168
Multiple_Gunshots,,12/27/2013,,,,39.96077698,-75.1076881,2013,,2013,12,168
Single_Gunshot,,12/26/2013,,,,39.95391414,-75.11709133,2013,,2013,12,168
Multiple_Gunshots,,12/26/2013,,,,39.93034791,-75.11104276,2013,,2013,12,168
Multiple_Gunshots,,12/26/2013,,,,39.93246575,-75.10904475,2013,,2013,12,168
Multiple_Gunshots,,12/25/2013,,,,39.93529466,-75.11681102,2013,,2013,12,168
Multiple_Gunshots,,12/24/2013,,,,39.92465954,-75.10764109,2013,,2013,12,168
Gunshot_or_Firecracker,,12/23/2013,,,,39.95158418,-75.11400788,2013,,2013,12,168
Multiple_Gunshots,,12/23/2013,,,,39.93224013,-75.11519723,2013,,2013,12,168
Single_Gunshot,,12/22/2013,,,,39.94998477,-75.11261597,2013,,2013,12,168
Multiple_Gunshots,,12/21/2013,,,,39.92700949,-75.09814158,2013,,2013,12,168
Gunshot_or_Firecracker,,12/20/2013,,,,39.948212,-75.11236786,2013,,2013,12,168
Single_Gunshot,,12/20/2013,,,,39.93739946,-75.11849872,2013,,2013,12,168
Multiple_Gunshots,,12/19/2013,,,,39.91874701,-75.10766421,2013,,2013,12,168
Multiple_Gunshots,,12/19/2013,,,,39.92455801,-75.11008369,2013,,2013,12,168
Single_Gunshot,,12/18/2013,,,,39.9270446,-75.10649517,2013,,2013,12,168
Multiple_Gunshots,,12/12/2013,,,,39.95535566,-75.12001733,2013,,2013,12,168
Multiple_Gunshots,,12/10/2013,,,,39.93427252,-75.113297,2013,,2013,12,168
Single_Gunshot,,12/10/2013,,,,39.93456401,-75.11448514,2013,,2013,12,168
Single_Gunshot,,12/10/2013,,,,39.95347659,-75.11717704,2013,,2013,12,168
Multiple_Gunshots,,12/10/2013,,,,39.92665344,-75.10753635,2013,,2013,12,168
Single_Gunshot,,12/8/2013,,,,39.93568325,-75.1221442,2013,,2013,12,168
Multiple_Gunshots,,12/7/2013,,,,39.93932646,-75.12397372,2013,,2013,12,168
Multiple_Gunshots,,12/7/2013,,,,39.96093269,-75.10627117,2013,,2013,12,168
Single_Gunshot,,12/6/2013,,,,39.92442747,-75.1017155,2013,,2013,12,168
Single_Gunshot,,12/5/2013,,,,39.92707273,-75.10448462,2013,,2013,12,168
Multiple_Gunshots,,12/5/2013,,,,39.92217791,-75.10242426,2013,,2013,12,168
Multiple_Gunshots,,12/4/2013,,,,39.92382211,-75.1015218,2013,,2013,12,168
Single_Gunshot,,12/4/2013,,,,39.92671101,-75.11583789,2013,,2013,12,168
Single_Gunshot,,12/3/2013,,,,39.92323876,-75.0989857,2013,,2013,12,168
Single_Gunshot,,12/3/2013,,,,39.92922715,-75.10365267,2013,,2013,12,168
Multiple_Gunshots,,12/2/2013,,,,39.95471645,-75.12105942,2013,,2013,12,168
Single_Gunshot,,12/2/2013,,,,39.9313502,-75.10810006,2013,,2013,12,168
